0	8,44953645082956E+017	RT @TheMeemStreams: If this is ok with you. YOU NEED TO LEAVE OUR COUNTRY NOW‼️💥🇺🇸 #bansharia #terrorism #TerroristAttack #MAGA… 		Hate speech
1	8,44953646173381E+017	@realDonaldTrump @SecPriceMD @SpeakerRyan @GOPLeader @HouseGOP Garbage legislation, you do not represent the people, #MAGA #GFY		Hate speech
2	8,44953650321609E+017	@realDonaldTrump #Manafort and you are going to #MakeRussiaGreatAgain. #Maga and #ImpeachTrump.  No #Traitor occupying the White House.		Hate speech
3	8,44953653354123E+017	"RT @mcspocky: Good Job Trump Cultists
#Resist #Resistance #Indivisible
#SCROTUS #PEEOTUS
#MAGA (by Jailing Trump) https://t.co/lp8vkPRx6h"		Hate speech
4	8,44953653848895E+017	Co-Conspirator Valerie Jarrett Moves Into Obama House (Flopping Aces) https://t.co/OfxNyhaVzy #MAGA #PJNET 888 https://t.co/v7tE3SkihH		Spam
5	8,44953657363878E+017	"What's 18 inches long and hangs in front of an asshole?

#DonaldTrump's tie.

#maga #deplorables #trumptrain… https://t.co/t00jND4ZkZ"		Hate speech
6	8,44953660123599E+017	RT @immigrant4trump: Bill O’Reilly RIPS Media’s treatment of Maryland high school rape ‘beyond anything I have ever seen’ #maga #trump http…		Normal
7	8,44953661059093E+017	"RT @mikandynothem: Much as Democrats would like wild conspiracy theories to be reason Trump won,
it was me...I am joyfully responsible… "		Normal
8	8,44953661247771E+017	"RT @mikandynothem: The only question needed to be asked by Congress: ""What size robe do you wear. sir?""
#MAGA #tcot #ThursdayThoughts… "		Offensive
9	8,44953668852072E+017	@Impeach_D_Trump @realDonaldTrump Donald Trump Is The Greatest And Most Loved President In Living History. Already. MAGA!		Normal
10	8,44953669204427E+017	RT @sealeney: 🔥🔥Freedom Watch &amp	 Whistleblower #Dennis Montgomery PROOF🔥🔥#TheHammer #Crowdstrike #DNC #MAGA #pedogate  #cdnpoli… 	Spam
11	8,44953671620289E+017	"RT @CarmineZozzora: The arrogance of that unspeakable bastard Barack Obama to open his lying trap about Obamacare today..?

⚡… "		Offensive
12	8,44953673222541E+017	RT @LouDobbs: Good for @DonaldJTrumpJr: speaks trutht to Elitist London Mayor Khan https://t.co/vyUKWQGQgV via @YahooNews #MAGA  @POTUS #Tr…		Normal
13	8,44953673335755E+017	Right? God forbid they say anything positive about President Trump!   😠 https://t.co/NWFfJmOrWp		Normal
14	8,44953675311317E+017	"RT @SandraTXAS: Nixon deleted only 18 minutes of tape, Hillary deleted 33,000 emails
#ImWithHer not!
#MAGA #AmericaFirst Trump… "		Normal
15	8,44953677249102E+017	"RT @CarmineZozzora: The arrogance of that unspeakable bastard Barack Obama to open his lying trap about Obamacare today..?

⚡… "		Offensive
16	8,44953684735857E+017	"RT @carrieksada: #ThursdayThoughts
#LondonAttacks 🔥
'We're Not Against Anybody, But We're For Ourselves' 
@Nigel_Farage… "		Normal
17	8,44953686061265E+017	"RT @WayneDupreeShow: #Trump Again Vindicated! He Was Under Surveillance! House Intel #Nunes""Bothered"" With Findings! https://t.co/SbqW5uMo9…"		Normal
18	8,44953687176991E+017	"RT @BrownJJ11: #Ramadan starts May 26th 
Stay safe! 💥💣🚛🛬🚗🔫🔪🗡💣💥

#Westminster #LondonAttack #London
#PrayForLondon https://t.co/Cu7OrrxaCW"		Normal
19	8,44953733561799E+017	RT @houselightthe: Open your eyes, your champion has betrayed you. #resist #draintheswamp #ImpeachTrump		Hate speech
20	8,44953744043377E+017	RT @BrianPSmyth: .@benshapiro #wiretapping #russiagate @CC @LindaSuhler Fact not #FakeNews @CNN @MSNBC @maddow #MAGA #BuildTheWall… 		Spam
21	8,44953757175689E+017	RT @RobManess: What did @BarackObama know &amp	 when did he know it? #SpecialProsecutor #draintheswamp https://t.co/EeyBUMVVd1	Normal
22	8,44953758010397E+017	RT @WatchChad: They didn't prepare to repeal &amp	 replace Obamacare for the last 8 years. Why? They were planning on an HC presidency. Losers.…	Normal
23	8,44953769070793E+017	🚫Nope❌Not good enough🚫Not one dime♦️ #AmericaFirst #women #mothers #draintheswamp #MAGA #Trump45 #Parents… https://t.co/QOmuX0s80l		Spam
24	8,44953789568299E+017	RT @RNRFlorida: VIDEO : PROOF Comey Lied Under Oath About Surveillance on Trump https://t.co/78RtaNiv84 #RedNationRising #DrainTheSwamp #MA…		Spam
25	8,44953806161019E+017	RT @RobManess: What did @BarackObama know &amp	 when did he know it? #SpecialProsecutor #draintheswamp https://t.co/EeyBUMVVd1	Normal
26	8,44953810430673E+017	RT @RobManess: What did @BarackObama know &amp	 when did he know it? #SpecialProsecutor #draintheswamp https://t.co/EeyBUMVVd1	Normal
27	8,44953812892815E+017	"RT @NationalAcq: .@realDonaldTrump

#RepealAndReplace #ObamaCare 

Trump #POTUS #DrainTheSwamp #TrumpTrain #MAGA #AHCA https://t.co/rgqhU0O…"		Normal
28	8,44953817242251E+017	@realDonaldTrump Please ask Trey Gowdy to be our new FBI director!  He'd do a great job!🇺🇸 #FireComey #DrainTheSwamp @TGowdySC #MAGA @POTUS		Normal
29	8,4495382145341E+017	"RT @Italians4Trump: THIS IS A #DeepState COUP ATTACK ON @POTUS BY #COMEY!
WE NEED TO #DrainTheSwamp!
THEY WANT TO CHANGE THE NARRATIVE! htt…"		Hate speech
30	8,44953823529591E+017	RT @RobManess: What did @BarackObama know &amp	 when did he know it? #SpecialProsecutor #draintheswamp https://t.co/EeyBUMVVd1	Normal
31	8,44953838616531E+017	"RT @Italians4Trump: #Comey IS WORKING FOR THE DEEP STATE COUP!
IT IS CLEAR!
WE NEED TO #DrainTheSwamp in the @FBI NOW! https://t.co/STb3ADi…"		Normal
32	8,44953849328779E+017	RT @WatchChad: They didn't prepare to repeal &amp	 replace Obamacare for the last 8 years. Why? They were planning on an HC presidency. Losers.…	Normal
33	8,44953856492515E+017	"RT @funder: If Trump is compromised, so is his entire cabinet. #DrainTheSwamp

#trumprussia #russiagate #resist #nunes #nunesmustresign #th…"		Normal
34	8,44953860510769E+017	Super ironic that @POTUS, who brought you #draintheswamp, is now openly violating the Anti-Lobbying Act during the Obamacare Repeal fiasco.		Normal
