African catfish
leprechaun
bog trotter
Leb
Honyak
limey
Chinaman
piker
bog jumper
booner
Lebbo
lowlander
Gwat
blockhead
dink
island nigger
ginzo
heinie
Honyock
fog nigger
paddy
boon
bog hopper
ocker
Pepper
Pepsi
plastic paddy
mung
FOB
Argie
Cuckservative
domes
Hunkie
banana bender
Bog Irish
nip
piky
hoser
bird
skag
scag
tranny
bint
closetfag
frocio
closet fag
finocchio
Fairy
queen
fruit
queer
cripple
sperg
retarded
mong
retard
idiot
charver
trailer trash
gurrier
ned
white trash
bitter clinger
hick
spiv
hoosier
yob
trash
millie
scallie
conspiracy theorist
slag
dole bludger
rube
yobbo
scanger
skanger
tree jumper
trailer park trash
shit kicker
bludger
hayseed
div
spide
scally
redneck
shant
charva
steek
yardie
jhant
mil bag
jant
senga
stump jumper
moke
chav
divvy
smoked Irishman
shiner
wigger
zipperhead
sheeny
cotton picker
crow
whigger
goober
wigga
shine
Tommy
tunnel digger
surrender monkey
zip
fuzzy wuzzy
squarehead
white nigger
paleface
snowflake
teapot
smoked Irish
sawney
hillbilly
zippohead
wiggerette
sooty
anal
porn
sex
